================================================================================
Modded-NanoGPT (RTX 4070 Laptop 8GB Optimized)
PyTorch: 2.15.0.dev20260907+cu126 | CUDA: 12.6
Device: NVIDIA GeForce RTX 4070 Laptop GPU | VRAM: 8.00 GB
================================================================================
Config: mbs=4 (4096 tokens) | batch_size=65536 tokens | grad_accum_steps=16
Validation tokens: 2097152
Starting training...
step:   0/3250 | val_loss:10.8258 | train_time:0.0s | step_avg:nanms | peak_vram:1043MB
step: 620/3250 | train_time:2334.3s | step_avg:3765.1ms | peak_vram:3840MB
step: 625/3250 | val_loss:4.4363 | train_time:2344.9s | step_avg:2211.1ms | peak_vram:3840MB
step: 630/3250 | train_time:2355.4s | step_avg:3738.8ms | peak_vram:3840MB
step: 640/3250 | train_time:2376.6s | step_avg:3713.5ms | peak_vram:3840MB
step: 650/3250 | train_time:2397.8s | step_avg:3688.9ms | peak_vram:3840MB
step: 660/3250 | train_time:2418.9s | step_avg:3665.1ms | peak_vram:3840MB
step: 670/3250 | train_time:2440.2s | step_avg:3642.1ms | peak_vram:3840MB
step: 680/3250 | train_time:2461.4s | step_avg:3619.7ms | peak_vram:3840MB
step: 690/3250 | train_time:2482.6s | step_avg:3597.9ms | peak_vram:3840MB
step: 700/3250 | train_time:2503.7s | step_avg:3576.7ms | peak_vram:3840MB
step: 710/3250 | train_time:2524.9s | step_avg:3556.2ms | peak_vram:3840MB
step: 720/3250 | train_time:2546.2s | step_avg:3536.3ms | peak_vram:3840MB
step: 730/3250 | train_time:2567.4s | step_avg:3517.0ms | peak_vram:3840MB
step: 740/3250 | train_time:2588.6s | step_avg:3498.1ms | peak_vram:3840MB
step: 750/3250 | train_time:2609.8s | step_avg:3479.8ms | peak_vram:3840MB
step: 750/3250 | val_loss:4.3691 | train_time:2609.8s | step_avg:2119.8ms | peak_vram:3840MB
step: 760/3250 | train_time:2631.0s | step_avg:3461.9ms | peak_vram:3840MB
step: 770/3250 | train_time:2652.2s | step_avg:3444.4ms | peak_vram:3840MB
step: 780/3250 | train_time:2673.4s | step_avg:3427.4ms | peak_vram:3840MB
step: 790/3250 | train_time:2694.6s | step_avg:3410.9ms | peak_vram:3840MB
step: 800/3250 | train_time:2715.9s | step_avg:3394.8ms | peak_vram:3840MB
step: 810/3250 | train_time:2737.1s | step_avg:3379.1ms | peak_vram:3840MB
step: 820/3250 | train_time:2758.3s | step_avg:3363.7ms | peak_vram:3840MB
step: 830/3250 | train_time:2779.5s | step_avg:3348.8ms | peak_vram:3840MB
step: 840/3250 | train_time:2800.8s | step_avg:3334.2ms | peak_vram:3840MB
step: 850/3250 | train_time:2822.0s | step_avg:3320.0ms | peak_vram:3840MB
step: 860/3250 | train_time:2843.3s | step_avg:3306.1ms | peak_vram:3840MB
step: 870/3250 | train_time:2864.5s | step_avg:3292.6ms | peak_vram:3840MB
step: 875/3250 | val_loss:4.3155 | train_time:2875.1s | step_avg:2122.4ms | peak_vram:3840MB
step: 880/3250 | train_time:2885.7s | step_avg:3279.2ms | peak_vram:3840MB
step: 890/3250 | train_time:2907.0s | step_avg:3266.3ms | peak_vram:3840MB
step: 900/3250 | train_time:2928.2s | step_avg:3253.6ms | peak_vram:3840MB
